Reference, Quantity, Digi-Key_PN
C10 ,1,1276-1244-1-ND
C2 C3 C7 C9 C16 ,5,CL21B104KBCNNNC
C4 C5 ,2,08051A200JAT2A
C6 ,1,T491B226K020AT
C1 C8 C12 C13 C14 C15 ,6,T494A106M020AT
CANH_TP1 ,1,
CANL_Test1 ,1,
D1 D2 D3 D4 D5 D6 D7 D8 ,8,516-1431-1-ND
F1 F2 F3 F4 F5 ,5,
H1 H2 H3 H4 ,4,
J1 ,1,1734-1024-ND
J2 ,1,1734-1635-ND
J3 ,1,S5596-ND
J4 ,1,S5598-ND
M1 M2 ,2,455-1657-ND
Q1 Q3 Q5 Q7 Q9 ,5,1727-6186-1-ND
Q11 ,1,SUD50P04-08-GE3CT-ND
Q2 Q4 Q6 Q8 Q10 ,5,1727-6186-1-ND
R1 R7 R14 R21 R28 ,5,311-2.80KCRCT-ND
R9 R16 R23 R30 R37 ,5,A106057CT-ND
R10 R17 R24 R31 R38 ,5,A129747CT-ND
R11 R13 R18 R20 R25 R27 R32 R34 R39 R41 ,10,A106060CT-ND
R12 R19 R26 R33 R40 ,5,311-220CRCT-ND
R4 ,1,A129738CT-ND
R2 R3 R5 R8 R15 R22 R29 ,7,RNCP0805FTD10K0CT-ND
R6 R35 R36 ,3,A126352CT-ND
SW1 ,1,450-1650-ND
Vout_TP1 Sense_TP1 TP1 TP2 TP3 TP4 TP5 TP6 TP7 TP8 TP9 ,11,
U1 ,1,LM2937ESX-3.3/NOPBCT-ND
U2 ,1,296-35967-1-ND
U3 ,1,497-17345-ND
U4 U5 U6 U7 U8 ,5,BTS443PAUMA1CT-ND
XTAL1 ,1,644-1178-1-ND